mẹ cô ấy	cô ấy mẹ
mẹ của cô ấy	mẹ cô ấy
quyển sách này	quyển sách này
ba giáo_viên	giáo_viên 3
nho xanh	nho xanh
không ăn	ăn không
thích ăn	ăn thích
giáo_viên thích nho	giáo_viên nho thích
giáo_viên thích những quả nho xanh	giáo_viên nho xanh thích
giáo_viên ăn quả cóc xanh	giáo_viên cóc xanh ăn
giáo_viên ăn quả chuối xanh	giáo_viên chuối xanh ăn
ai thích nho	nho thích ai
bao_nhiêu giáo_viên thích nho	nho thích giáo_viên bao_nhiêu
giáo_viên thích gì	giáo_viên thích gì
giáo_viên thích bao_nhiêu loại nho	giáo_viên loại nho thích bao_nhiêu
giáo_viên đã ăn mấy quả nho	giáo_viên nho ăn mấy
bạn ăn sáng lúc mấy giờ	bạn ăn sáng giờ mấy
tôi ăn sáng lúc 6 giờ	tôi sáng ăn giờ 6
em_gái tôi ít khi thăm_viếng họ_hàng	em_gái tôi họ_hàng thăm_viếng ít
dưa_hấu và chuối có cách ăn khác_nhau	dưa_hấu chuối ăn khác_nhau
tôi thương mẹ nhất	tôi mẹ thương nhất
khi có nhiều mây đen thì sẽ có lũ_lụt	khi mây đen nhiều thì lũ_lụt có
khi trời mưa tạnh thì sẽ có cầu vòng	khi mưa tạnh cầu vòng có
anh tôi đánh ông bình	anh tôi Bình đánh
ông bình bị anh tôi đánh	anh tôi Bình đánh
cuốn sách đặt trên tập nhạc	tập nhạc cuốn sách trên
ra lấy áo_quần vào đi con	ra áo_quần lấy
con đã cất áo_quần vào chưa	con áo_quần cất chưa
sắp mưa rồi đấy	mưa sắp
tập nhạc đặt dưới cuốn sách	cuốn sách tập nhạc dưới
trời sắp mưa đến_nơi rồi kìa	mưa sắp
Lan ơi , mưa	Lan mưa
mày có ra lấy áo_quần vào không Lan	Lan ra áo_quần lấy
Mưa ướt hết bây_giờ	mưa ướt hết
con phải cất áo_quần vào kẻo mưa đến_nơi rồi đấy	con áo_quần cất mưa
nước sôi rồi	nước sôi rồi
trong phích có nước sôi đấy	phích nước sôi có
tôi rót nước sôi vào phích	tôi phích nước sôi rót
ông nói gà , bà nói vịt	gà ông nói vịt bà nói
ông thì nói gà , bà thì nói vịt	gà ông nói vịt bà nói
ông nói gà thì bà nói vịt	gà ông nói thì vịt bà nói
ông mà nói gà thì bà lại nói vịt	gà ông nói thì vịt bà nói
giờ ngủ thì các cháu im_lặng	giờ ngủ cháu im_lặng
ông ngủ thì các cháu nên im_lặng	ông ngủ cháu im_lặng
sách hay thì ai cũng thích đọc	sách hay ai đọc thích
sách hay người_ta mới thích đọc	sách hay người_ta đọc thích
sách mà hay thì ai cũng thích đọc	sách hay thì ai đọc thích
sách có hay thì người_ta mới thích đọc	sách hay có người_ta đọc thích
mẹ đi Hà_Nội rồi	mẹ Hà_Nội rồi
năm nay mưa ít quá	mưa năm nay ít
bức này màu không đẹp	bức này màu đẹp không
trời mà mưa thì ở lại	mưa thì ở lại
mẹ đi Hà_Nội chưa	mẹ Hà_Nội đi chưa
Năm nay mưa nhiều không	mưa năm nay nhiều
bức này thế_nào	bức này thế_nào
trời mà mưa thì_sao	mưa thì_sao
tôi đau quá	đau quá
anh đau lắm à	anh đau
ở đây có muỗi	ở đây muỗi có
bây_giờ là ba giờ rồi	bây_giờ giờ 3
cái này bao_nhiêu tiền	cái này tiền bao_nhiêu
cuốn sách ấy đọc được đấy	cuốn sách ấy đọc được
con mèo này không đẹp	con mèo này đẹp không
anh thì cần gì đến tôi	tôi anh cần gì
cụ Tú tóc đã bạc hết rồi	Tú tóc bạc hết rồi
vườn nhà tôi lá rụng nhiều	lá vườn nhà tôi rụng nhiều
có một người thì làm không xuể	người một làm xuể không
bây_giờ chưa muộn đâu	bây_giờ muộn chưa
tham thì thâm	tham thâm thì
bao_giờ trời nổi can_qua	trời nổi can_qua
con vua thất_thế lại đi quét chùa	vua con thất_thế chùa quét
hòn đất mà biết nói_năng thì thầy_địa_lý hàm_răng không còn	đất nói_năng biết thầy_địa_lý hàm_răng còn không
con Cún người_ta bắt mất rồi	cún người_ta bắt rồi
cây gạo đầu làng bị sét đánh_đổi rồi	đầu làng cây gạo sét đánh_đổ
còn con Cún đâu rồi	Cún đâu
con Cún thì người_ta bắt mất rồi	Cún người_ta bắt rồi
ai làm được_việc này	việc này làm được ai
tôi làm được	tôi được làm
nó chịu rồi , còn anh thì_có làm được không ạ	nó chịu rồi anh làm được
tôi thì làm được	tôi làm được
con tôi đứa thì đi làm , đứa thì đi học	con tôi đứa làm đứa học
món này ăn thì ngon nhưng làm thì mất_công	món này ngon nhưng làm mất_công
việc này không chóng thì chầy cũng sẽ đưa đến kết_quả xấu	việc này không chóng thì chầy kết_quả xấu
anh_em ở đây không_ít_thì_nhiều đều có đóng_góp	anh_em ở đây không_ít_thì_nhiều đóng_góp có
hình_như anh hài_lòng lắm thì_phải	hình_như anh hài_lòng
anh Nam làm_việc thì chăm_chỉ	Nam làm_việc chăm_chỉ
anh Nam làm_việc chăm_chỉ	Nam làm_việc chăm_chỉ
anh mời thì tôi đến	anh mời tôi đến
anh mời tôi đến	anh mời tôi đến
thấy địch thì khai_triển đội_hình	địch thấy thì đội_hình khai_triển
thấy địch khai_triển đội_hình	địch thấy đội_hình khai_triển
khi tàu chạy thì về	tàu chạy thì về
khi tàu chạy về	khi tàu về
không làm , không ăn	làm không ăn không
không làm thì không ăn	làm không thì ăn không
cần gì , nói ngay đi	cần nói
cần gì thì nói ngay đi	cần thì nói
Không làm thì không ăn đấy nhé	làm không thì ăn không
cần gì thì nói ngay đi , thưa bẩm mãi	cần gì thì nói bẩm mãi
cần gì ? nói ngay đi	cần gì ? nói
chó treo , mèo đậy	chó treo mèo đậy
mềm nắn , rắn buông	mềm nắn rắn vuông
cá cả , lợn lớn	cá cả lợn lớn
trên thuận dưới hòa	trên thuận dưới hòa
trong thì ấm , ngoài thì êm	trong ấm ngoài êm
bói thì_ra ma , quét nhà thì_ra rác	bói thì_ra nhà quét rác thì_ra
trong có ấm thì ngoài mới có êm	trong ấm thì ngoài êm
bói mà ra ma thì quét nhà ra rác	bói ma ra thì nhà quét rác
trời thì mưa lâm_thâm	mưa lâm_thâm
làm_sao cho khỏi ướt	ướt làm_sao
mọi người đi trước cả rồi , còn tôi thì tôi sẽ đi_sau	mọi người đi rồi , tôi đi_sau sẽ
ai chứ , anh Ba thì khỏi phải giới_thiệu	giới_thiệu Ba phải khỏi
nó thì nó chẳng tin được đâu	nó tin chẳng
nó thì chẳng tin được đâu	nó tin chẳng
thì_giờ là vàng_bạc	thì_giờ vàng_bạc
Hà_Nội thủ_đô nước ta	Hà_Nội thủ_đô nước ta
người là hoa đất	người hoa đất
nó chê cấm là nó ốm đấy	nó cấm chê nó ốm đấy
được tặng giải 1 một cậu_bé mười_hai tuổi	giải 1 cậu_bé mười_hai tuổi
trên cùng là tượng phật	trên cùng tượng phật
em tôi thích nhất kẹo chanh	em tôi kẹo chanh thích
họ gặp nhau lần cuối là trong chiến_dịch Tây_Bắc	họ lần cuối gặp trong chiến_dịch Tây_Bắc
kỉ_niệm thành_lập đơn_vị ta là ngày 21 tháng mười_hai	thành_lập đơn_vị kỉ_niệm ngày 21 tháng mười_hai
anh_ấy đến đây để gặp chị	anh_ấy đến đây chị gặp
tai_nạn xảy_ra là vì người lái_xe say rượu	xảy_ra tai_nạn vì người lái_xe rượu say
nói hỗn với mẹ là không được	hỗn mẹ được không
anh chỉ phải đợi ba_tháng nữa_là cùng	anh đợi ba_tháng
anh thích nhất kẹo chanh	anh kẹo chanh thích nhất
em anh thích nhất cái gì	em anh thích nhất cái gì
em anh thích nhất kẹo gì	em anh thích nhất kẹo gì
em ai thích nhất kẹo chanh	kẹo chanh thích nhất em ai
anh tệ lắm	anh tệ lắm
anh là tệ lắm	anh tệ lắm
tôi chỉ thích đọc Nam_Cao	tôi Nam_Cao đọc thích
mẹ nó đánh là đánh cho nó sợ thôi	mẹ nó đánh là đánh cho nó sợ
nó yêu là yeu cáu túi_tiền của mày	nó yêu là yêu túi_tiền của mày
cô ta đẹp là đẹp vì lụa	cô ta đẹp đẹp vì lụa
họ gặp nhau lần cuối là ở Tây_Bắc cơ	lần cuối họ gặp là ở Tây_Bắc
họ gặp nhau lần cuối là ở Tây_Bắc chứ	lần cuối họ gặp là ở Tây_Bắc
họ gặp nhau lần cuối là ở Tây_Bắc mà , nói rồi , khổ lắm , hỏi mãi , cãi mãi	lần cuối họ gặp là ở Tây_Bắc nói rồi khổ lắm hỏi mãi cãi mãi
là tôi phỏng_đoán thế	tôi phỏng_đoán
còn cháu là	còn cháu là
thế_thì tốt	thế_thì tốt
thế_là tốt	thế_là tốt
nếu thế_thì tốt	nếu thế_thì tốt
nếu thế_là tốt	nếu thế_là tốt
có lệnh thì đi	lệnh có đi
có lệnh là đi	lệnh có đi
người mà đến thế thì_thôi	người đến thì_thôi
bây_giờ mà đi bộ thì không kịp	bây_giờ đi bộ không kịp
chỗ này mà xây_dựng một bệnh_viện thì tốt	chỗ này bệnh_viện xây_dựng tốt
cá này mà hấp với nấm thì ngon tuyệt	cá này nấm hấp ngon
là lớp trưởng mà không gương_mẫu thì_sao nói được các bạn	lớp trưởng gương_mẫu không nói các bạn được
đi thi mà chủ_quan thì rất dễ trượt	thi chủ_quan trượt dễ
người khó_tính	
người mà khó_tính thì chẳng ai ưa	người khó_tính ưa chẳng
cá_quả nấu với khế	cá_quả khế nấu
cá_quả mà nấu với khế thì rất ngon	cá_quả khế nấu ngon
non thì nhớ nước , nước mà quên non	non nước nhớ nước non quên
bài_toán này mà em không làm được sao	bài_toán này em làm được không
quá trưa mà khách vẫn chưa đến	trưa khách đến chưa
giữa làng giữa chợ mà hắn dám chửi cả bố_con nhà bá Kiến	giữa làng giữa chợ hắn bố_con Bá_Kiến chửi
hắn mà dám thế à	hắn dám
sáng nay , nó đến mà tôi lại không có nhà	sáng nay nó đến tôi nhà có không
trời lạnh mà ăn_mặc phong_phanh thì bị cảm đấy , mặc áo_ấm vào	trời lạnh ăn_mặc phong_phanh cảm áo_ấm mặc
trời lạnh mà ăn_mặc phong_phanh thế_này thì chưa bị cảm là may đấy	trời lạnh ăn_mặc phong_phanh cảm chưa may
nó làm được thế_này đã là khá lắm rồi	nó làm được thế_này khá rồi
đi_sau chót chắc là cơ_quan ta	đi_sau cơ_quan ta chắc chót
cái đó chỉ là liều thuốc an_thần thôi	thuốc an_thần thôi
ai làm nấy chịu	ai làm nấy chịu
muốn gì được nấy	muốn gì được nấy
cha nào con nấy	cha nào con nấy
bảo sao nghe vậy	bảo sao nghe vậy
dặn thế_nào thì làm thế_ấy	dặn thế_nào làm thế_ấy
bao_giờ đỗ trạng bấy_giờ cưới nhau	bao_giờ đỗ trạng bấy_giờ cưới
ai làm thì tôi không biết	ai làm tôi biết không
muốn gì thì đã được rồi	muốn gì thì được rồi
bao_giờ đỗ trạng thì cưới	bao_giờ đỗ trạng thì cưới
ai làm cũng được	làm ai cũng được
nó làm_gì cũng giỏi	nó làm_gì cũng giỏi
cha nào cũng mong con ngoan	cha nào mong con ngoan
anh nói sao cũng được	anh nói sao được
dặn thế_nào nó cũng quên	dặn thế_nào nó quên
cần bao_nhiêu cũng có	cần bao_nhiêu cũng có
bao_giờ đỗ trạng cũng được vinh_quy	bao_giờ đỗ trạng vinh_quy được
con có khóc thì mẹ mới cho bú	con khóc mẹ bú cho
tôi chưa kịp chuẩn_bị thì nó đã đến	tôi chuẩn_bị chưa nó đến
mới nứt mặt ra mà đã đòi lấy vợ	mặt nứt mới mà vợ lấy đòi
càng âu duyên mới , càng dào tình xưa	càng âu duyên mới càng dào tình xưa
mỗi người một vẻ	mỗi người một vẻ
chẳng thơm cũng thể hoa nhài	thơm chẳng cũng thể hoa nhài
nói đoạn , Ngũ_Viên liền đăm cổ tự_sát	đoạn nói Ngũ_Viên đăm cổ tự_sát
phen này , ông Tư ắt_là hả_hê	phen này Tư hả_hê
đó là một bài báo cực_kì bổ_ích	đó bài báo bổ_ích
nếu có giấy_mời thì anh hãy đi	nếu giấy_mời có anh đi hãy
anh Nam ấy à , tôi vừa gặp anh_ấy ở trường xong	Nam tôi gặp ở trường
công_việc ư , thì tôi vẫn quan_tâm đấy chứ	công_việc thì tôi vẫn quan_tâm
qua kinh_nghiệm cho ta thấy , tầm quan_trọng của việc quản_lí vật_tư	kinh_nghiệm thấy quản_lí vật_tư tầm quan_trọng
trong tình_hình đó đòi_hỏi ta phải cố_gắng	trong tình_hình đó đòi_hỏi ta cố_gắng phải
đau_đớn thay phận đàn_bà	đau_đớn thay phận đàn_bà
còn đâu những đêm vàng bên bờ suối	đêm vàng bên suối còn đâu
chẳng_qua là cái nợ_đời chi đây	chẳng_qua nợ_đời chi đây
lạ thay sức_mạnh của tâm_hồn	sức_mạnh tâm_hồn lạ thay
vui sao buổi hành_quân nắng lửa	buổi hành_quân nắng lửa vui
bỗng gặp người , lưng ngựa đèo cao	người gặp bỗng ngựa lưng đèo cao
no gì mà no	no gì mà no
đẹp gì con ấy mà đẹp	con ấy đẹp gì mà đẹp
nó có làm đâu mà làm	nó làm có đâu mà làm
bảo là no thì tôi có no gì đâu	bảo no tôi có no gì đâu
bảo là đẹp thì con ấy đẹp gì	bảo đẹp con ấy đẹp gì
nói là làm mà nó có làm đâu	nói làm nó có làm đâu
cái quyển sách mua hôm_qua ấy mà , anh đọc xong chưa	hôm_qua sách mua anh đọc xong chưa
Chí_Phèo nhận đi ngay	Chí_Phèo đi nhận ngay
hắn tức_khắc đến nhà đội Tảo	hắn nhà đội Tảo đến
anh này lại say_khướt rồi	anh này say_khướt rồi
bấy_giờ là vào mùa mưa	bấy_giờ mùa mưa
ở đây chúng_ta làm_việc 5 ngày 1 tuần	ở đây chúng_ta làm_việc tuần 1 ngày 5
làm_ăn như_thế thfi không là may rồi	làm_ăn như_thế thì may không
ai làm_việc này	làm_việc này ai
đứa nào đánh vỡ bình hoa	đánh vỡ bình hoa đứa nào
bao_giờ anh về	anh về bao_giờ
còn thế_nào nữa mới bằng_lòng	còn thế_nào bằng_lòng
người chiến_sĩ ấy , ai đã gặp anh không_thể_nào quên	chiến_sĩ ấy gặp ai anh quên không_thể_nào
những người đã được gặp Hồ_Chủ_Tịch	Hồ_Chủ_Tịch những người gặp được
những_ai đã gặp anh	anh những_ai đã gặp
những gì ta mong_muốn	những gì ta mong_muốn
nước_non mình đâu cũng đẹp như tranh	nước_non đẹp như tranh
hổ là một loài thú ăn thịt	hổ thú ăn thịt
nghèo không phải là tội_lỗi	nghèo tội_lỗi không phải
yêu là chết ở trong lòng một_ít	yêu trong lòng chết một_ít
chạy làm cho khí_huyết lưu_thông	chạy làm cho khí_huyết lưu_thông
một người thì chả mến	một người thì mến chả
một người như anh thì ai chả mến	một người như anh thì ai mến chả
lạt buộc chặt	lạt buộc chặt
loài thú ăn thịt là hổ	thú ăn thịt là hổ
loài thú ăn thịt điển_hình là hổ	thú điển_hình thịt ăn là hổ
