me co ay	co ay me
me cua co ay	me co ay
quyen sach nay	quyen sach nay
ba giao_vien	giao_vien 3
nho xanh	nho xanh
khong an	an khong
thich an	an thich
giao_vien thich nho	giao_vien nho thich
giao_vien thich nhung qua nho xanh	giao_vien nho xanh thich
giao_vien an qua coc xanh	giao_vien coc xanh an
giao_vien an qua chuoi xanh	giao_vien chuoi xanh an
ai thich nho	nho thich ai
bao_nhieu giao_vien thich nho	nho thich giao_vien bao_nhieu
giao_vien thich gi	giao_vien thich gi
giao_vien thich bao_nhieu loai nho	giao_vien loai nho thich bao_nhieu
giao_vien da an may qua nho	giao_vien nho an may
ban an sang luc may gio	ban an sang gio may
toi an sang luc 6 gio	toi sang an gio 6
em_gai toi it khi tham_vieng ho_hang	em_gai toi ho_hang tham_vieng it
dua_hau va chuoi co cach an khac_nhau	dua_hau chuoi an khac_nhau
toi thuong me nhat	toi me thuong nhat
khi co nhieu may den thi se co lu_lut	khi may den nhieu thi lu_lut co
khi troi mua tanh thi se co cau vong	khi mua tanh cau vong co
anh toi danh ong binh	anh toi Binh danh
ong binh bi anh toi danh	anh toi Binh danh
cuon sach dat tren tap nhac	tap nhac cuon sach tren
ra lay ao_quan vao di con	ra ao_quan lay
con da cat ao_quan vao chua	con ao_quan cat chua
sap mua roi day	mua sap
tap nhac dat duoi cuon sach	cuon sach tap nhac duoi
troi sap mua den_noi roi kia	mua sap
Lan oi , mua	Lan mua
may co ra lay ao_quan vao khong Lan	Lan ra ao_quan lay
Mua uot het bay_gio	mua uot het
con phai cat ao_quan vao keo mua den_noi roi day	con ao_quan cat mua
nuoc soi roi	nuoc soi roi
trong phich co nuoc soi day	phich nuoc soi co
toi rot nuoc soi vao phich	toi phich nuoc soi rot
ong noi ga , ba noi vit	ga ong noi vit ba noi
ong thi noi ga , ba thi noi vit	ga ong noi vit ba noi
ong noi ga thi ba noi vit	ga ong noi thi vit ba noi
ong ma noi ga thi ba lai noi vit	ga ong noi thi vit ba noi
gio ngu thi cac chau im_lang	gio ngu chau im_lang
ong ngu thi cac chau nen im_lang	ong ngu chau im_lang
sach hay thi ai cung thich doc	sach hay ai doc thich
sach hay nguoi_ta moi thich doc	sach hay nguoi_ta doc thich
sach ma hay thi ai cung thich doc	sach hay thi ai doc thich
sach co hay thi nguoi_ta moi thich doc	sach hay co nguoi_ta doc thich
me di Ha_Noi roi	me Ha_Noi roi
nam nay mua it qua	mua nam nay it
buc nay mau khong dep	buc nay mau dep khong
troi ma mua thi o lai	mua thi o lai
me di Ha_Noi chua	me Ha_Noi di chua
Nam nay mua nhieu khong	mua nam nay nhieu
buc nay the_nao	buc nay the_nao
troi ma mua thi_sao	mua thi_sao
toi dau qua	dau qua
anh dau lam a	anh dau
o day co muoi	o day muoi co
bay_gio la ba gio roi	bay_gio gio 3
cai nay bao_nhieu tien	cai nay tien bao_nhieu
cuon sach ay doc duoc day	cuon sach ay doc duoc
con meo nay khong dep	con meo nay dep khong
anh thi can gi den toi	toi anh can gi
cu Tu toc da bac het roi	Tu toc bac het roi
vuon nha toi la rung nhieu	la vuon nha toi rung nhieu
