Word	Semilar
a_dua	vào_hùa
a_hoàn	nữ_tì
a_hoàn	thị_nữ
a_hoàn	thị_tì
a_ma_tơ	tài_tử
ai_ngờ	nào_ngờ
ai_ngờ	ngờ_đâu
am_hiểu	am_tường
am_hiểu	thông_hiểu
amygdala	hạnh_nhân
an	bất_an
an	bất_ổn
an_dưỡng	tĩnh_dưỡng
an_nhàn	nhàn_nhã
an_phận	thủ_phận
an_phận	yên_phận
an_toạ	an_vị
an_toạ	yên_vị
an_táng	chôn_cất
an_táng	mai_táng
an_ủi	yên_ủi
anh_dũng	can_đảm
anh_dũng	dũng_mãnh
anh_dũng	gan_dạ
anh_hùng_ca	sử_thi
ao_ước	ước_ao
ba	bố
ba	tía
ba_chỉ	ba_rọi
ba_láp	bá_láp
ban_bố	công_bố
ban_mai	sớm_mai
ban_đầu	ban_sơ
banh	chành
banh	vành
bao_biện	ôm_đồm
bao_dung	bao_dong
bao_la	bát_ngát
bao_la	mênh_mông
bao_la	mông_mênh
bao_mua	bao_tiêu
bao_nhiêu	bao_lăm
bao_phủ	bao_trùm
bao_tiêu	bao_mua
bao_trùm	bao_phủ
bao_tải	bao_bố
bao_tải	bao_tời
bao_tải	khố_tải
bao_vây	bủa_vây
bao_vây	phong_bế
bao_vây	phong_toả
bao_vây	giải_vây
bay	đi
bay	phai
bay	phăng
bay_biến	bay
bay_biến	phăng
bay_bướm	chân_phương
be_bét	bét
be_bét	bét_be
bi	hài
bi_a	bi_da
bi_kịch	thảm_kịch
bi_quan	lạc_quan
bi_thương	bi_thảm
bi_thương	thảm_thương
bi_thảm	bi_thương
bi_thảm	thảm
bi_thảm	thảm_thương
bi_tráng	bi_hùng
bi_đông	bình_toong
binh_lửa	lửa_binh
binh_lực	quân_lực
binh_sĩ	quân_sĩ
biên_dịch	phiên_dịch
biên_giới	biên_cương
biên_giới	biên_thuỳ
biên_soạn	soạn
biên_thuỳ	biên_cương
biến_chuyển	biến_đổi
biến_chuyển	chuyển_biến
biến_sắc	thất_sắc
biến_thế	biến_áp
biến_đổi	biến_chuyển
biến_đổi	chuyển_biến
biến_động	cố_định
biếng_nhác	chây_lười
biếng_nhác	lười_biếng
biếng_nhác	lười_nhác
biết_bao	biết_bao_nhiêu
biết_bao	biết_chừng_nào
biết_bao	xiết_bao
biết_chừng_nào	biết_bao
biết_chừng_nào	biết_bao_nhiêu
biết_chừng_nào	biết_mấy
biết_chừng_nào	xiết_bao
biết_thóp	bắt_thóp
biết_tỏng	biết_thỏm
biết_đâu	biết_đâu_chừng
biết_ơn	hàm_ân
biết_ơn	hàm_ơn
biển	bể
biển_cả	đại_dương
biển_thủ	tham_ô
biển_thủ	thụt_két
biểu_diễn	trình_diễn
biểu_dương	tuyên_dương
biểu_hiện	biểu_lộ
biểu_hiện	thể_hiện
biểu_lộ	biểu_hiện
biểu_lộ	biểu_thị
biểu_lộ	bộc_lộ
biểu_lộ	thể_hiện
biểu_thị	biểu_lộ
biểu_thị	thể_hiện
biểu_đạt	diễn_đạt
biểu_đồ	giản_đồ
